# RD,State Code,County Code,Site ID,Parameter Code,Parameter,Parameter Abbreviation,Parameter Alternate Name,CAS Number,POC,Sample Duration,Unit Code,Units,Method Code,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency,Qualifier - 1,Qualifier - 2,Qualifier - 3,Alternate Method Detectable Limit,Makeup Sample,Standard Units,Still Valid,Round or Truncate,MAAC ppb,MAAC ug/m3,Type
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-04-23,1900-01-01,0.522,,,,,,0.00773,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-04-29,1900-01-01,0.518,,,,,,0.00779,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-05-05,1900-01-01,0.271,,,,,,0.00731,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-05-11,1900-01-01,0.389,,,,,,0.00776,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-05-17,1900-01-01,0.702,,,,,,0.00754,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-05-23,1900-01-01,0.522,,,,,,0.0073,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-05-29,1900-01-01,0.408,,,,,,0.0077,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-06-04,1900-01-01,0.788,,,,,,0.00762,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-06-10,1900-01-01,0.235,,,,,,0.0077,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-06-16,1900-01-01,0.595,,,,,,0.00786,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-06-22,1900-01-01,0.629,,,,,,0.00788,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-06-28,1900-01-01,0.496,,,,,,0.00759,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-07-04,1900-01-01,0.396,,,,,,0.008,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-07-10,1900-01-01,0.393,,,,,,0.00785,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-07-16,1900-01-01,0.312,,,,,,0.008,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-07-22,1900-01-01,0.45,,,,,,0.00789,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-07-28,1900-01-01,0.305,,,,,,0.00787,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-08-03,1900-01-01,0.412,,,,,,0.00782,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-08-09,1900-01-01,0.47,,,,,,0.00754,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-08-15,1900-01-01,0.312,,,,,,0.00778,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-08-21,1900-01-01,0.445,,,,,,0.00712,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-08-27,1900-01-01,0.412,,,,,,0.00735,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-09-02,1900-01-01,0.418,,,QX,,,0.00714,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-09-08,1900-01-01,0.592,,,,,,0.00705,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
